No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
207,전체,교선,HBLF7820,외국인학생을위한실용한국어,3,3.0,0.0,,"일반(언어와문화) 일13,14,15(Z101)",1,김일림,"유학생 전용(1,2학년), 한양대학교 학점인정 컨소시엄 E-러닝 교과목"
208,전체,교선,HBLF7833,뉴스톺아보기-미디어리터러시 의힘,2,2.0,0.0,,"일반(인간과사회) 월4,5(I210)",1,고승일,nan
209,전체,교선,HBLF7834,전공별프로젝트산출물실습caps ton,3,2.0,1.0,균형(인문),"월2,3,4(I212)",1,김현주,nan
210,전체,교선,HBLF7835,AI시대의감정읽기와융합적자기 성찰(캡스톤),3,2.0,1.0,균형(인문),"목6,7,8(I307)",1,"김지윤,장지현",nan
211,전체,교선,HBLF7836,캡스톤과창의적문제해결,3,2.0,1.0,균형(사회),"수2,3,4(I407)",1,서은아,nan
212,전체,교선,HBLF7837,"AI씽킹:사고와소통,그리고디자 인",3,2.0,1.0,균형(브리지),"목6,7,8(I210)",1,"김희균,서승연,양영하",
213,전체,교선,HBLF7841,세계시민성과DEI스토리랩,3,2.0,1.0,균형(인문),"월6,7,8(I407)",1,"김지윤,전정미",nan
214,전체,교선,HBLF7843,나도콘텐츠크리에이터:AI로배우 는창작,3,3.0,0.0,,"일반(정보기술과산 업) 토0,1,2(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
215,전체,교선,HBLF7844,아이디어를현실로-바이브코딩,3,3.0,0.0,,"일반(정보기술과산 업) 토3,4,5(Z101)",1,김일림,한양대학교 학점인정 컨소시엄 E-러닝 교과목/3~4학년만 수강 가능
216,전체,교선,HBLG1007,상상력과문학,3,3.0,0.0,균형(인문),"월3,4,5(I407)",1,김지윤,nan
217,전체,교선,HBLG1009,법학의세계,3,3.0,0.0,균형(사회),"목2,3,4(I311)",1,전우석,nan
218,전체,교선,HBLG1014,에너지와녹색산업,2,2.0,0.0,,"일반(과학과환경) 금4,5(Z101)",1,이흥주,E-러닝 교과목(3-4학년만 수강가능)
219,전체,교선,HBLG2016,정보윤리와보안,2,2.0,0.0,,"일반(정보기술과산 업) 화7,8(I212)",1,박진성,nan
220,전체,교선,HBLG2020,농구,2,0.0,2.0,,"일반(체육과무용) 화3,4(S326)",1,한상호,nan
221,전체,교선,HBLG2020,농구,2,0.0,2.0,,"일반(체육과무용) 수3,4(S326)",2,한상호,nan
222,전체,교선,HBLG2033,유머화법,2,2.0,0.0,,"일반(언어와문화) 수5,6(I210)",1,양영하,nan
223,전체,교선,HBLG2038,한국사회의이해(유학생),3,3.0,0.0,,"일반(글로벌언어와 문화) 수7,8,9(I109)",1,양영하,유학생 전용
224,전체,교선,HBLG2040,한국문화입문,3,3.0,0.0,,"일반(글로벌언어와 문화) 금2,3,4(I204)",1,최명숙,유학생 전용
225,전체,교선,HBLG2042,중급일본어,2,2.0,0.0,,"일반(글로벌언어와 문화) 금1,2(I111)",1,이이호시카즈야,nan
226,전체,교선,HBLG2046,천안의이해,2,1.0,1.0,,"일반(역사와철학) 화7,8(I310)",1,김현주,nan
227,전체,교선,HBLG2050,충남의이해,3,3.0,0.0,,"일반(역사와철학) 금5,6,7(I209)",1,유재필,nan
228,전체,교선,HBLG9042,쉽고재미있는교육입문,3,3.0,0.0,균형(사회),"목1,2,3(I210)",1,장지현,nan
229,전체,교선,HBLG9058,교양과인성(유학생),1,1.0,0.0,기초(교양과인성),화8(I204),1,양영하,유학생 전용
230,전체,교선,HBLJ0001,CI50융합인재로드맵,2,2.0,0.0,,"일반(인간과사회) 일1,2(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
231,전체,교선,HBLJ0002,"마음치유,잃어버린나를찾는길",3,3.0,0.0,,"일반(인간과사회) 토4,5,6(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
